ok_2010_94_CQTA_PANATLANTICA  _6271_2
ok_2011_80152_CQTA_PPLA          _16624_2
ok_2012_94_CQTA_PANATLANTICA  _24796_2
ok_2012_701_CQTA_BAHEMA        _25807_2
ok_2012_906_CQTA_BRADESCO      _25736_2
ok_2012_1023_CQTA_BRASIL        _25257_2
ok_2012_1155_CQTA_BANESTES      _25684_2
ok_2012_1210_CQTA_BANRISUL      _25439_2
ok_2012_1325_CQTA_MERC BRASIL   _25480_2
ok_2012_1384_CQTA_ALFA INVEST   _24916_2
ok_2012_1520_CQTA_BARDELLA      _25630_2
ok_2012_1562_CQTA_BAUMER        _25876_2
ok_2012_1694_CQTA_BIC MONARK    _25216_2
ok_2012_2100_CQTA_CAMBUCI       _25587_2
ok_2012_2429_CQTA_CELUL IRANI   _25070_2
ok_2012_2437_CQTA_ELETROBRAS    _26089_2
ok_2012_2453_CQTA_CEMIG         _26149_2
ok_2012_2461_CQTA_CELESC        _26277_2
ok_2012_3069_CQTA_FERBASA       _24984_2
ok_2012_3077_CQTA_CEDRO         _26206_2
ok_2012_3115_CQTA_SEG AL BAHIA  _24564_2
ok_2012_3158_CQTA_COTEMINAS     _25721_2
ok_2012_3190_CQTA_REDE ENERGIA  _42814_2
ok_2012_3298_CQTA_HABITASUL     _25647_2
ok_2012_3395_CQTA_IND CATAGUAS  _24986_2
ok_2012_3654_CQTA_MELHOR SP     _25247_2
erro_2012_3980_CQTA_GERDAU        _<class 'AssertionError'>
erro_2012_4030_CQTA_SID NACIONAL  _<class 'selenium.common.exceptions.NoSuchElementException'>
erro_2012_4081_CQTA_SANTANENSE    _<class 'selenium.common.exceptions.NoSuchElementException'>
erro_2012_4146_CQTA_KARSTEN       _<class 'selenium.common.exceptions.NoSuchElementException'>
erro_2012_4170_CQTA_VALE          _<class 'selenium.common.exceptions.NoSuchElementException'>
erro_2012_4537_CQTA_GRAZZIOTIN    _<class 'selenium.common.exceptions.NoSuchElementException'>
erro_2012_4669_CQTA_GUARARAPES    _<class 'selenium.common.exceptions.NoSuchElementException'>
ok_2012_4707_CQTA_ALFA CONSORC  _24929_2
ok_2012_4723_CQTA_CONST A LIND  _35840_2
ok_2012_4820_CQTA_BRASKEM       _24137_2
ok_2012_4863_CQTA_COR RIBEIRO   _25280_2
ok_2012_5207_CQTA_DOHLER        _25222_2
ok_2012_5258_CQTA_RAIADROGASIL  _25488_2
ok_2012_5312_CQTA_MUNDIAL       _26028_2
ok_2012_5410_CQTA_WEG           _24482_2
ok_2012_5762_CQTA_ETERNIT       _24969_2
ok_2012_5770_CQTA_EUCATEX       _25096_2
ok_2012_6173_CQTA_FORJA TAURUS  _35813_2
ok_2012_6211_CQTA_FRAS-LE       _24481_2
ok_2012_6343_CQTA_TUPY          _25225_2
ok_2012_6505_CQTA_VIAVAREJO     _24360_2
ok_2012_6700_CQTA_HOTEIS OTHON  _25810_2
ok_2012_6815_CQTA_IGB SA       _33276_2
ok_2012_7510_CQTA_INDS ROMI     _24331_2
ok_2012_7544_CQTA_TEX RENAUX    _25426_2
ok_2012_7595_CQTA_INEPAR        _26020_2
ok_2012_7617_CQTA_ITAUSA        _24663_2
ok_2012_7811_CQTA_JOAO FORTES   _33122_2
ok_2012_7870_CQTA_KEPLER WEBER  _24914_2
ok_2012_8087_CQTA_LOJAS AMERIC  _25008_2
ok_2012_8133_CQTA_LOJAS RENNER  _24469_2
ok_2012_8192_CQTA_TREVISA       _25823_2
ok_2012_8397_CQTA_MANGELS INDL  _25063_2
ok_2012_8427_CQTA_ESTRELA       _25664_2
ok_2012_8451_CQTA_MARCOPOLO     _24370_2
ok_2012_8575_CQTA_METAL LEVE    _24838_2
ok_2012_8656_CQTA_GERDAU MET    _24389_2
ok_2012_8672_CQTA_JEREISSATI    _25062_2
ok_2012_8753_CQTA_METISA        _24991_2
ok_2012_8893_CQTA_MONT ARANHA   _27880_2
ok_2012_9040_CQTA_NADIR FIGUEI  _25782_2
ok_2012_9067_CQTA_SUZANO HOLD   _26042_2
ok_2012_9342_CQTA_DIMED         _25269_2
ok_2012_9393_CQTA_PARANAPANEMA  _24548_2
ok_2012_9512_CQTA_PETROBRAS     _24066_2
ok_2012_9954_CQTA_ALFA HOLDING  _24930_2
ok_2012_9989_CQTA_PET MANGUINH  _31350_2
ok_2012_10456_CQTA_ALPARGATAS    _40224_2
ok_2012_10472_CQTA_SARAIVA LIVR  _25137_2
ok_2012_10880_CQTA_SONDOTECNICA  _28099_2
ok_2012_10960_CQTA_SPRINGER      _25449_2
ok_2012_11070_CQTA_WLM IND COM   _25349_2
ok_2012_11223_CQTA_TEKA          _25645_2
ok_2012_11231_CQTA_TEKNO         _25204_2
ok_2012_11312_CQTA_OI            _26434_2
ok_2012_11398_CQTA_CRISTAL       _25300_2
ok_2012_11592_CQTA_UNIPAR        _24896_2
ok_2012_11762_CQTA_VULCABRAS     _29769_2
ok_2012_11932_CQTA_IOCHP-MAXION  _24541_2
ok_2012_11975_CQTA_AZEVEDO       _25654_2
ok_2012_11991_CQTA_WETZEL SA    _25207_2
ok_2012_12190_CQTA_BOMBRIL       _25477_2
ok_2012_12530_CQTA_ITAUTEC       _24398_2
ok_2012_12572_CQTA_RECRUSUL      _25920_2
ok_2012_12653_CQTA_KLABIN SA    _24397_2
ok_2012_12696_CQTA_SANSUY        _25575_2
ok_2012_12823_CQTA_ALIPERTI      _25337_2
ok_2012_13285_CQTA_JOSAPAR       _25320_2
ok_2012_13366_CQTA_HAGA SA      _25303_2
ok_2012_13471_CQTA_PLASCAR PART  _24783_2
ok_2012_13765_CQTA_MINUPAR       _25286_2
ok_2012_13773_CQTA_PORTOBELLO    _25572_2
ok_2012_13781_CQTA_SAO CARLOS    _25012_2
ok_2012_13986_CQTA_SUZANO S.A.   _24853_2
ok_2012_14109_CQTA_RANDON PART   _24545_2
ok_2012_14133_CQTA_TECTOY        _25346_2
ok_2012_14206_CQTA_BRB BANCO     _25830_2
ok_2012_14311_CQTA_COPEL         _25260_2
ok_2012_14320_CQTA_USIMINAS      _24647_2
ok_2012_14346_CQTA_WHIRLPOOL     _26212_2
ok_2012_14443_CQTA_SABESP        _25223_2
ok_2012_14451_CQTA_CEB           _25650_2
ok_2012_14460_CQTA_CYRELA REALT  _25161_2
ok_2012_14664_CQTA_SCHULZ        _24498_2
ok_2012_14761_CQTA_CIA HERING    _24394_2
ok_2012_14826_CQTA_P.ACUCAR-CBD  _24367_2
ok_2012_15091_CQTA_LITEL         _25764_2
ok_2012_15253_CQTA_ENERGISA      _24705_2
ok_2012_15300_CQTA_ALL NORTE     _25153_2
erro_2012_15369_CQTA_FER C ATLANT  _<class 'selenium.common.exceptions.TimeoutException'>
ok_2012_15458_CQTA_BATTISTELLA   _25113_2
ok_2012_15539_CQTA_NEOENERGIA    _25234_2
ok_2012_16101_CQTA_GAFISA        _24844_2
ok_2012_16292_CQTA_BRF SA        _24657_2
ok_2012_16306_CQTA_ROSSI RESID   _25377_2
ok_2012_16438_CQTA_SUL 116 PART  _25526_2
ok_2012_16497_CQTA_ENCORPAR      _25924_2
ok_2012_16632_CQTA_GPC PART      _25858_2
ok_2012_16659_CQTA_PORTO SEGURO  _24456_2
ok_2012_16993_CQTA_EMAE          _25187_2
ok_2012_17329_CQTA_ENGIE BRASIL  _24153_2
ok_2012_17450_CQTA_RUMO S.A.     _24743_2
ok_2012_17493_CQTA_CAPITALPART   _25603_2
ok_2012_17558_CQTA_SELECTPART    _25613_2
ok_2012_17639_CQTA_TIM PART SA  _24104_2
ok_2012_17671_CQTA_TELEF BRASIL  _24426_2
ok_2012_17892_CQTA_SANTOS BRP    _24068_2
ok_2012_17914_CQTA_MMX MINER     _25004_2
ok_2012_17922_CQTA_BRAZILIAN FR  _24329_2
ok_2012_17930_CQTA_ALL PAULISTA  _25160_2
ok_2012_17973_CQTA_KROTON        _25077_2
ok_2012_18287_CQTA_CIBRASEC      _24865_2
ok_2012_18376_CQTA_TRAN PAULIST  _24462_2
ok_2012_18414_CQTA_IDEIASNET     _25770_2
erro_2012_18465_CQTA_ULTRAPAR      _<class 'selenium.common.exceptions.WebDriverException'>
ok_2012_18660_CQTA_CPFL ENERGIA  _24909_2
ok_2012_18708_CQTA_PAR AL BAHIA  _25389_2
ok_2012_18724_CQTA_BRADESPAR     _25064_2
ok_2012_18775_CQTA_INVEPAR       _25561_2
ok_2012_18821_CQTA_CCR SA        _25009_2
ok_2012_18953_CQTA_CPFL GERACAO  _24908_2
ok_2012_18970_CQTA_AES TIETE E   _24572_2
ok_2012_19062_CQTA_AGPART        _26188_2
ok_2012_19100_CQTA_LIQ           _24463_2
ok_2012_19305_CQTA_BIOMM         _25715_2
ok_2012_19330_CQTA_TRIUNFO PART  _27792_2
ok_2012_19348_CQTA_ITAUUNIBANCO  _24646_2
ok_2012_19437_CQTA_AGCONCESSOES  _26175_2
ok_2012_19445_CQTA_COPASA        _24718_2
ok_2012_19453_CQTA_ECORODOVIAS   _24951_2
ok_2012_19550_CQTA_NATURA        _24134_2
erro_2012_19569_CQTA_GOL           _<class 'selenium.common.exceptions.WebDriverException'>
ok_2012_19615_CQTA_GRENDENE      _24578_2
ok_2012_19623_CQTA_DASA          _24839_2
ok_2012_19658_CQTA_POMIFRUTAS    _28174_2
ok_2012_19739_CQTA_LOCALIZA      _25068_2
ok_2012_19763_CQTA_ENERGIAS BR   _30020_2
ok_2012_19879_CQTA_LIGHT SA     _25265_2
ok_2012_19909_CQTA_BR MALLS PAR  _24746_2
ok_2012_19925_CQTA_BR PROPERT    _24306_2
ok_2012_19992_CQTA_TOTVS         _23966_2
ok_2012_20010_CQTA_EQUATORIAL    _25814_2
ok_2012_20028_CQTA_VALID         _25528_2
ok_2012_20060_CQTA_LUPATECH      _25780_2
ok_2012_20087_CQTA_EMBRAER       _24875_2
ok_2012_20125_CQTA_ODONTOPREV    _24672_2
ok_2012_20184_CQTA_CCX CARVAO    _24371_2
ok_2012_20257_CQTA_TAESA         _25406_2
ok_2012_20320_CQTA_CEMIG GT      _25570_2
ok_2012_20338_CQTA_M.DIASBRANCO  _24638_2
ok_2012_20346_CQTA_PROFARMA      _25380_2
ok_2012_20354_CQTA_TERRA SANTA   _25921_2
ok_2012_20362_CQTA_POSITIVO TEC  _24944_2
ok_2012_20370_CQTA_LOPES BRASIL  _24949_2
ok_2012_20435_CQTA_TECNISA       _25191_2
ok_2012_20451_CQTA_RNI           _25353_2
ok_2012_20478_CQTA_PDG REALT     _25382_2
ok_2012_20494_CQTA_IGUATEMI      _28108_2
ok_2012_20524_CQTA_EVEN          _24655_2
ok_2012_20532_CQTA_SANTANDER BR  _25779_2
ok_2012_20540_CQTA_CPFL RENOVAV  _24992_2
ok_2012_20567_CQTA_PINE          _24476_2
ok_2012_20575_CQTA_JBS           _31726_2
ok_2012_20605_CQTA_JHSF PART     _25560_2
ok_2012_20613_CQTA_METALFRIO     _24439_2
ok_2012_20621_CQTA_FER HERINGER  _24794_2
ok_2012_20630_CQTA_CR2           _25365_2
ok_2012_20702_CQTA_VIVER         _25906_2
ok_2012_20710_CQTA_LOG-IN        _25048_2
ok_2012_20745_CQTA_SLC AGRICOLA  _24917_2
ok_2012_20770_CQTA_EZTEC         _25049_2
ok_2012_20788_CQTA_MARFRIG       _25552_2
ok_2012_20800_CQTA_TEGMA         _26069_2
ok_2012_20877_CQTA_HELBOR        _25229_2
ok_2012_20885_CQTA_INDUSVAL      _25231_2
ok_2012_20915_CQTA_MRV           _24946_2
ok_2012_20931_CQTA_MINERVA       _25098_2
ok_2012_20958_CQTA_ABC BRASIL    _25559_2
ok_2012_20966_CQTA_SPRINGS       _25729_2
ok_2012_20982_CQTA_MULTIPLAN     _24955_2
ok_2012_20990_CQTA_B2W DIGITAL   _24779_2
ok_2012_21008_CQTA_GENERALSHOPP  _25928_2
ok_2012_21016_CQTA_ESTACIO PART  _25343_2
ok_2012_21032_CQTA_ALGAR TELEC   _25000_2
ok_2012_21040_CQTA_CYRE COM-CCP  _24577_2
ok_2012_21091_CQTA_DURATEX       _24420_2
ok_2012_21121_CQTA_SUL AMERICA   _24533_2
ok_2012_21130_CQTA_TRISUL        _25146_2
ok_2012_21148_CQTA_TENDA         _24846_2
ok_2012_21156_CQTA_J.MACEDO      _25141_2
ok_2012_21180_CQTA_BR BROKERS    _25084_2
ok_2012_21199_CQTA_BANCO PAN     _25738_2
ok_2012_21237_CQTA_ENEVA         _28270_2
ok_2012_21300_CQTA_ALIANSCE      _25291_2
ok_2012_21334_CQTA_NUTRIPLANT    _24698_2
ok_2012_21342_CQTA_OSX BRASIL    _25967_2
ok_2012_21350_CQTA_DIRECIONAL    _25252_2
ok_2012_21393_CQTA_CELGPAR       _29406_2
ok_2012_21431_CQTA_HYPERA        _24745_2
ok_2012_21490_CQTA_ALUPAR        _24425_2
ok_2012_21555_CQTA_UNIDAS        _27287_2
ok_2012_21610_CQTA_B3            _24356_2
ok_2012_21636_CQTA_RENOVA        _25010_2
ok_2012_21717_CQTA_TARPON INV    _23952_2
ok_2012_21725_CQTA_ADVANCED-DH   _26297_2
ok_2012_21733_CQTA_CIELO         _24133_2
ok_2012_21881_CQTA_FLEURY        _24765_2
ok_2012_21903_CQTA_ECON          _24954_2
ok_2012_22020_CQTA_JSL           _29875_2
ok_2012_22055_CQTA_LOJAS MARISA  _24102_2
ok_2012_22187_CQTA_PETRORIO      _24661_2
ok_2012_22217_CQTA_ALPER S.A.    _25428_2
ok_2012_22349_CQTA_AREZZO CO     _24719_2
ok_2012_22357_CQTA_SIERRABRASIL  _24778_2
ok_2012_22365_CQTA_ENAUTA PART   _24913_2
ok_2012_22454_CQTA_TIME FOR FUN  _24392_2
ok_2012_22470_CQTA_MAGAZ LUIZA   _25378_2
ok_2012_22497_CQTA_QUALICORP     _25523_2
ok_2012_22500_CQTA_BR PHARMA     _31807_2
ok_2012_22519_CQTA_TECHNOS       _31212_2
ok_2012_22551_CQTA_SOMOS EDUCA   _26141_2
ok_2012_22594_CQTA_STATKRAFT     _26088_2
ok_2012_22616_CQTA_BTGP BANCO    _24357_2
ok_2012_22691_CQTA_LOCAMERICA    _24911_2
ok_2012_22799_CQTA_SINQIA        _26211_2
ok_2012_23035_CQTA_LINX          _26223_2
ok_2012_23159_CQTA_BBSEGURIDADE  _26407_2
ok_2012_23175_CQTA_IGUA SA       _27836_2
ok_2012_23248_CQTA_ANIMA         _32051_2
ok_2012_23272_CQTA_LOG COM PROP  _32733_2
ok_2012_23280_CQTA_OURO VERDE    _34710_2
ok_2012_23310_CQTA_CVC BRASIL    _33545_2
ok_2012_23574_CQTA_IMC SA       _45182_2
ok_2012_80020_CQTA_GP INVEST     _25565_2
ok_2012_80047_CQTA_WILSON SONS   _25046_2
ok_2012_80063_CQTA_PATAGONIA     _25467_2
ok_2012_80152_CQTA_PPLA          _24385_2
ok_2013_94_CQTA_PANATLANTICA  _35273_2
ok_2013_701_CQTA_BAHEMA        _35966_2
ok_2013_906_CQTA_BRADESCO      _35965_2
ok_2013_1023_CQTA_BRASIL        _41430_2
ok_2013_1155_CQTA_BANESTES      _35693_2
ok_2013_1210_CQTA_BANRISUL      _35198_2
ok_2013_1325_CQTA_MERC BRASIL   _35976_2
ok_2013_1384_CQTA_ALFA INVEST   _35365_2
ok_2013_1520_CQTA_BARDELLA      _35687_2
ok_2013_1562_CQTA_BAUMER        _36009_2
ok_2013_1694_CQTA_BIC MONARK    _35494_2
ok_2013_2100_CQTA_CAMBUCI       _38457_2
ok_2013_2429_CQTA_CELUL IRANI   _34943_2
erro_2013_2437_CQTA_ELETROBRAS    _<class 'selenium.common.exceptions.NoSuchElementException'>
ok_2013_2453_CQTA_CEMIG         _36107_2
ok_2013_2461_CQTA_CELESC        _35863_2
ok_2013_3069_CQTA_FERBASA       _35384_2
ok_2013_3077_CQTA_CEDRO         _35483_2
ok_2013_3115_CQTA_SEG AL BAHIA  _34734_2
ok_2013_3158_CQTA_COTEMINAS     _35647_2
ok_2013_3190_CQTA_REDE ENERGIA  _42816_2
ok_2013_3298_CQTA_HABITASUL     _35883_2
ok_2013_3395_CQTA_IND CATAGUAS  _35566_2
ok_2013_3654_CQTA_MELHOR SP     _39844_2
ok_2013_3980_CQTA_GERDAU        _34726_2
ok_2013_4030_CQTA_SID NACIONAL  _34941_2
ok_2013_4081_CQTA_SANTANENSE    _35643_2
ok_2013_4146_CQTA_KARSTEN       _35370_2
ok_2013_4170_CQTA_VALE          _35249_2
ok_2013_4537_CQTA_GRAZZIOTIN    _34909_2
ok_2013_4669_CQTA_GUARARAPES    _34594_2
ok_2013_4707_CQTA_ALFA CONSORC  _35363_2
ok_2013_4723_CQTA_CONST A LIND  _45268_2
ok_2013_4820_CQTA_BRASKEM       _35243_2
ok_2013_4863_CQTA_COR RIBEIRO   _35600_2
ok_2013_5207_CQTA_DOHLER        _35447_2
ok_2013_5258_CQTA_RAIADROGASIL  _35254_2
ok_2013_5312_CQTA_MUNDIAL       _36011_2
ok_2013_5410_CQTA_WEG           _34835_2
ok_2013_5762_CQTA_ETERNIT       _35232_2
ok_2013_5770_CQTA_EUCATEX       _34716_2
ok_2013_6173_CQTA_FORJA TAURUS  _35957_2
ok_2013_6211_CQTA_FRAS-LE       _35124_2
ok_2013_6343_CQTA_TUPY          _35073_2
ok_2013_6505_CQTA_VIAVAREJO     _34524_2
ok_2013_6700_CQTA_HOTEIS OTHON  _35770_2
ok_2013_6815_CQTA_IGB SA       _36492_2
ok_2013_7510_CQTA_INDS ROMI     _34477_2
ok_2013_7544_CQTA_TEX RENAUX    _36012_2
ok_2013_7595_CQTA_INEPAR        _35859_2
ok_2013_7617_CQTA_ITAUSA        _34638_2
ok_2013_7811_CQTA_JOAO FORTES   _37699_2
ok_2013_7870_CQTA_KEPLER WEBER  _35456_2
ok_2013_8087_CQTA_LOJAS AMERIC  _35308_2
ok_2013_8133_CQTA_LOJAS RENNER  _34705_2
ok_2013_8192_CQTA_TREVISA       _35444_2
ok_2013_8397_CQTA_MANGELS INDL  _37604_2
ok_2013_8427_CQTA_ESTRELA       _35740_2
ok_2013_8451_CQTA_MARCOPOLO     _34785_2
ok_2013_8575_CQTA_METAL LEVE    _35213_2
ok_2013_8656_CQTA_GERDAU MET    _34728_2
ok_2013_8672_CQTA_JEREISSATI    _35526_2
ok_2013_8753_CQTA_METISA        _35400_2
ok_2013_8893_CQTA_MONT ARANHA   _35991_2
ok_2013_9040_CQTA_NADIR FIGUEI  _35861_2
ok_2013_9067_CQTA_SUZANO HOLD   _36179_2
ok_2013_9342_CQTA_DIMED         _35709_2
ok_2013_9393_CQTA_PARANAPANEMA  _34877_2
ok_2013_9512_CQTA_PETROBRAS     _34830_2
ok_2013_9989_CQTA_PET MANGUINH  _62831_2
ok_2013_10456_CQTA_ALPARGATAS    _40225_2
ok_2013_10472_CQTA_SARAIVA LIVR  _35369_2
ok_2013_10880_CQTA_SONDOTECNICA  _35599_2
ok_2013_10960_CQTA_SPRINGER      _36045_2
ok_2013_11070_CQTA_WLM IND COM   _35751_2
ok_2013_11207_CQTA_TECNOSOLO     _36136_2
ok_2013_11223_CQTA_TEKA          _35930_2
ok_2013_11231_CQTA_TEKNO         _35588_2
ok_2013_11312_CQTA_OI            _34636_2
ok_2013_11398_CQTA_CRISTAL       _35194_2
ok_2013_11762_CQTA_VULCABRAS     _35375_2
ok_2013_11932_CQTA_IOCHP-MAXION  _36227_2
ok_2013_11975_CQTA_AZEVEDO       _35723_2
ok_2013_11991_CQTA_WETZEL SA    _35581_2
ok_2013_12190_CQTA_BOMBRIL       _36101_2
ok_2013_12530_CQTA_ITAUTEC       _34472_2
ok_2013_12572_CQTA_RECRUSUL      _35913_2
ok_2013_12653_CQTA_KLABIN SA    _34485_2
ok_2013_12696_CQTA_SANSUY        _35688_2
ok_2013_12823_CQTA_ALIPERTI      _36172_2
ok_2013_13285_CQTA_JOSAPAR       _35406_2
ok_2013_13366_CQTA_HAGA SA      _35280_2
ok_2013_13471_CQTA_PLASCAR PART  _35879_2
ok_2013_13765_CQTA_MINUPAR       _34911_2
ok_2013_13773_CQTA_PORTOBELLO    _35518_2
ok_2013_13781_CQTA_SAO CARLOS    _35189_2
ok_2013_13986_CQTA_SUZANO S.A.   _35192_2
ok_2013_14109_CQTA_RANDON PART   _36042_2
ok_2013_14133_CQTA_TECTOY        _35627_2
ok_2013_14206_CQTA_BRB BANCO     _35761_2
ok_2013_14311_CQTA_COPEL         _41476_2
ok_2013_14320_CQTA_USIMINAS      _34548_2
ok_2013_14346_CQTA_WHIRLPOOL     _34642_2
ok_2013_14451_CQTA_CEB           _36432_2
ok_2013_14460_CQTA_CYRELA REALT  _35386_2
ok_2013_14664_CQTA_SCHULZ        _34873_2
ok_2013_14761_CQTA_CIA HERING    _34703_2
ok_2013_14826_CQTA_P.ACUCAR-CBD  _35298_2
ok_2013_15091_CQTA_LITEL         _35928_2
ok_2013_15253_CQTA_ENERGISA      _35285_2
ok_2013_15369_CQTA_FER C ATLANT  _35476_2
ok_2013_15458_CQTA_BATTISTELLA   _35230_2
ok_2013_15539_CQTA_NEOENERGIA    _35473_2
ok_2013_16101_CQTA_GAFISA        _34902_2
ok_2013_16292_CQTA_BRF SA        _34932_2
ok_2013_16306_CQTA_ROSSI RESID   _35672_2
ok_2013_16497_CQTA_ENCORPAR      _35642_2
ok_2013_16632_CQTA_GPC PART      _35877_2
ok_2013_16659_CQTA_PORTO SEGURO  _34786_2
ok_2013_16993_CQTA_EMAE          _35493_2
ok_2013_17329_CQTA_ENGIE BRASIL  _34713_2
ok_2013_17450_CQTA_RUMO S.A.     _34903_2
ok_2013_17493_CQTA_CAPITALPART   _35828_2
ok_2013_17558_CQTA_SELECTPART    _35838_2
ok_2013_17639_CQTA_TIM PART SA  _34545_2
ok_2013_17671_CQTA_TELEF BRASIL  _34836_2
ok_2013_17892_CQTA_SANTOS BRP    _34432_2
ok_2013_17914_CQTA_MMX MINER     _35564_2
ok_2013_17922_CQTA_BRAZILIAN FR  _34772_2
erro_2013_17973_CQTA_KROTON        _<class 'selenium.common.exceptions.TimeoutException'>
ok_2013_18287_CQTA_CIBRASEC      _35026_2
ok_2013_18376_CQTA_TRAN PAULIST  _34923_2
ok_2013_18414_CQTA_IDEIASNET     _35865_2
ok_2013_18465_CQTA_ULTRAPAR      _34677_2
ok_2013_18660_CQTA_CPFL ENERGIA  _35644_2
ok_2013_18708_CQTA_PAR AL BAHIA  _35978_2
ok_2013_18724_CQTA_BRADESPAR     _35387_2
ok_2013_18775_CQTA_INVEPAR       _38254_2
ok_2013_18821_CQTA_CCR SA        _35137_2
ok_2013_18953_CQTA_CPFL GERACAO  _35645_2
ok_2013_18970_CQTA_AES TIETE E   _34956_2
ok_2013_19062_CQTA_AGPART        _35845_2
ok_2013_19100_CQTA_LIQ           _34778_2
ok_2013_19305_CQTA_BIOMM         _37567_2
ok_2013_19330_CQTA_TRIUNFO PART  _35382_2
ok_2013_19348_CQTA_ITAUUNIBANCO  _36223_2
ok_2013_19437_CQTA_AGCONCESSOES  _35660_2
ok_2013_19445_CQTA_COPASA        _34244_2
ok_2013_19453_CQTA_ECORODOVIAS   _35292_2
ok_2013_19550_CQTA_NATURA        _39253_2
ok_2013_19569_CQTA_GOL           _35520_2
ok_2013_19615_CQTA_GRENDENE      _34532_2
ok_2013_19623_CQTA_DASA          _35471_2
ok_2013_19658_CQTA_POMIFRUTAS    _35193_2
ok_2013_19739_CQTA_LOCALIZA      _35398_2
ok_2013_19763_CQTA_ENERGIAS BR   _34927_2
ok_2013_19836_CQTA_COSAN         _34913_2
ok_2013_19879_CQTA_LIGHT SA     _35112_2
ok_2013_19909_CQTA_BR MALLS PAR  _35253_2
ok_2013_19925_CQTA_BR PROPERT    _34595_2
ok_2013_19992_CQTA_TOTVS         _34227_2
ok_2013_20010_CQTA_EQUATORIAL    _35098_2
ok_2013_20028_CQTA_VALID         _35422_2
ok_2013_20060_CQTA_LUPATECH      _36351_2
ok_2013_20087_CQTA_EMBRAER       _36055_2
ok_2013_20125_CQTA_ODONTOPREV    _35072_2
ok_2013_20184_CQTA_CCX CARVAO    _36243_2
ok_2013_20257_CQTA_TAESA         _35399_2
ok_2013_20338_CQTA_M.DIASBRANCO  _35082_2
ok_2013_20346_CQTA_PROFARMA      _35983_2
ok_2013_20354_CQTA_TERRA SANTA   _35655_2
ok_2013_20362_CQTA_POSITIVO TEC  _34704_2
ok_2013_20370_CQTA_LOPES BRASIL  _35259_2
ok_2013_20435_CQTA_TECNISA       _36490_2
ok_2013_20451_CQTA_RNI           _35377_2
ok_2013_20478_CQTA_PDG REALT     _34541_2
ok_2013_20494_CQTA_IGUATEMI      _36089_2
ok_2013_20524_CQTA_EVEN          _34774_2
ok_2013_20532_CQTA_SANTANDER BR  _39433_2
erro_2013_20540_CQTA_CPFL RENOVAV  _<class 'selenium.common.exceptions.TimeoutException'>
ok_2013_20567_CQTA_PINE          _34933_2
ok_2013_20575_CQTA_JBS           _35474_2
ok_2013_20605_CQTA_JHSF PART     _35522_2
ok_2013_20613_CQTA_METALFRIO     _35172_2
ok_2013_20630_CQTA_CR2           _35217_2
ok_2013_20702_CQTA_VIVER         _35512_2
ok_2013_20710_CQTA_LOG-IN        _35342_2
ok_2013_20745_CQTA_SLC AGRICOLA  _35155_2
ok_2013_20770_CQTA_EZTEC         _35341_2
ok_2013_20788_CQTA_MARFRIG       _35309_2
ok_2013_20800_CQTA_TEGMA         _35570_2
ok_2013_20877_CQTA_HELBOR        _35297_2
ok_2013_20885_CQTA_INDUSVAL      _35511_2
ok_2013_20915_CQTA_MRV           _35180_2
ok_2013_20931_CQTA_MINERVA       _35116_2
ok_2013_20958_CQTA_ABC BRASIL    _35855_2
ok_2013_20966_CQTA_SPRINGS       _35561_2
ok_2013_20982_CQTA_MULTIPLAN     _35323_2
ok_2013_20990_CQTA_B2W DIGITAL   _35307_2
ok_2013_21008_CQTA_GENERALSHOPP  _35681_2
ok_2013_21016_CQTA_ESTACIO PART  _35514_2
ok_2013_21032_CQTA_ALGAR TELEC   _34866_2
ok_2013_21040_CQTA_CYRE COM-CCP  _34769_2
ok_2013_21091_CQTA_DURATEX       _34610_2
ok_2013_21121_CQTA_SUL AMERICA   _35224_2
ok_2013_21130_CQTA_TRISUL        _35176_2
ok_2013_21148_CQTA_TENDA         _60083_2
ok_2013_21156_CQTA_J.MACEDO      _34931_2
ok_2013_21180_CQTA_BR BROKERS    _35299_2
ok_2013_21199_CQTA_BANCO PAN     _35987_2
ok_2013_21237_CQTA_ENEVA         _35682_2
ok_2013_21300_CQTA_ALIANSCE      _36079_2
ok_2013_21334_CQTA_NUTRIPLANT    _37204_2
ok_2013_21342_CQTA_OSX BRASIL    _36314_2
ok_2013_21350_CQTA_DIRECIONAL    _35251_2
ok_2013_21393_CQTA_CELGPAR       _35769_2
ok_2013_21431_CQTA_HYPERA        _35327_2
ok_2013_21490_CQTA_ALUPAR        _35636_2
ok_2013_21555_CQTA_UNIDAS        _35441_2
ok_2013_21610_CQTA_B3            _34539_2
ok_2013_21636_CQTA_RENOVA        _35029_2
ok_2013_21717_CQTA_TARPON INV    _34215_2
ok_2013_21725_CQTA_ADVANCED-DH   _35867_2
ok_2013_21733_CQTA_CIELO         _34213_2
ok_2013_21881_CQTA_FLEURY        _35174_2
ok_2013_21903_CQTA_ECON          _35293_2
ok_2013_22020_CQTA_JSL           _34831_2
ok_2013_22055_CQTA_LOJAS MARISA  _35260_2
ok_2013_22187_CQTA_PETRORIO      _35895_2
ok_2013_22217_CQTA_ALPER S.A.    _35846_2
ok_2013_22349_CQTA_AREZZO CO     _35300_2
ok_2013_22357_CQTA_SIERRABRASIL  _35169_2
