;3.01;3.01.01;3.01.01.01;3.01.01.02;3.01.02;3.01.02.01;3.01.02.02;3.01.03;3.01.03.01;3.01.03.02;3.01.03.03;3.01.04;3.01.04.01;3.01.04.02;3.01.04.03;3.01.05;3.01.06;3.01.07;3.01.08;3.01.09;3.01.10;3.01.11;3.01.12;3.01.13;3.01.14;3.01.15;3.01.16;3.01.17;3.02;3.02.01;3.02.01.01;3.02.01.02;3.02.01.03;3.02.02;3.02.02.01;3.02.02.02;3.02.02.03;3.02.03;3.02.03.01;3.02.03.02;3.02.03.03;3.02.04;3.02.04.01;3.02.04.02;3.02.04.03;3.02.05;3.02.06;3.02.07;3.02.08;3.02.09;3.02.10;3.02.11;3.02.12;3.02.13;3.02.14;3.02.15;3.02.16;3.02.17;3.03;3.04;3.04.01;3.04.01.01;3.04.01.02;3.04.01.03;3.04.01.04;3.04.01.05;3.04.01.06;3.04.01.07;3.04.01.08;3.04.01.09;3.04.01.10;3.04.01.11;3.04.01.12;3.04.01.13;3.04.01.14;3.04.01.15;3.04.01.16;3.04.01.17;3.04.01.18;3.04.01.20;3.04.02;3.04.02.01;3.04.02.02;3.04.02.03;3.04.02.04;3.04.02.05;3.04.02.06;3.04.02.07;3.04.02.08;3.04.02.09;3.04.02.10;3.04.02.11;3.04.02.12;3.04.02.13;3.04.02.14;3.04.02.15;3.04.02.16;3.04.02.17;3.04.02.18;3.04.02.19;3.04.02.20;3.04.03;3.04.03.01;3.04.03.02;3.04.03.03;3.04.03.04;3.04.03.05;3.04.03.06;3.04.04;3.04.04.01;3.04.04.02;3.04.04.03;3.04.04.04;3.04.04.05;3.04.04.06;3.04.04.07;3.04.04.08;3.04.04.09;3.04.04.10;3.04.04.11;3.04.04.12;3.04.04.13;3.04.04.14;3.04.04.20;3.04.05;3.04.05.01;3.04.05.02;3.04.05.03;3.04.05.04;3.04.05.05;3.04.05.06;3.04.05.07;3.04.05.08;3.04.05.09;3.04.05.10;3.04.05.11;3.04.05.12;3.04.05.13;3.04.05.14;3.04.05.20;3.04.06;3.04.06.01;3.04.06.02;3.04.06.03;3.04.06.04;3.04.06.05;3.04.06.06;3.04.06.07;3.04.07;3.04.07.01;3.04.08;3.05;3.05.01;3.05.02;3.05.03;3.05.04;3.05.05;3.05.06;3.06;3.06.01;3.06.01.01;3.06.01.02;3.06.01.03;3.06.01.04;3.06.01.05;3.06.01.06;3.06.01.07;3.06.01.08;3.06.01.09;3.06.02;3.06.02.01;3.06.02.02;3.06.02.03;3.06.02.04;3.06.02.05;3.06.02.06;3.06.02.07;3.06.02.08;3.06.02.09;3.06.02.10;3.06.02.11;3.07;3.08;3.08.01;3.08.01.01;3.08.02;3.09;3.09.01;3.09.02;3.10;3.10.01;3.10.01.01;3.10.01.02;3.10.01.03;3.10.01.04;3.10.01.20;3.10.02;3.10.02.01;3.10.02.02;3.10.02.03;3.11;3.11.01;3.11.02;3.12;3.12.01;3.12.02;3.13;3.13.01;3.13.02;3.99;3.99.01;3.99.01.01;3.99.01.02;3.99.01.03;3.99.01.04;3.99.02;3.99.02.01;3.99.02.02;3.99.02.03;3.99.02.04;ano;cvm;empresa_descr
valores;372.910;;;;;;;;;;;;;;;;;;;;;;;;;;;;-222.379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150.531;-122.956;-69.480;;;;;;;;;;;;;;;;;;;;-53.599;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.310;;;;;;;;;;;;;;;;-1.187;-131;-1.056;0;;;;;;;;;;;;;;;;;;;;;;;;27.575;;;;;;;-470;7.459;;;;;;;;;;-7.929;;;;;;;;;;;;27.105;-2.686;-3.156;;470;24.419;;;;;;;;;;;;;;24.419;23.445;974;;;;;;;;;;;;;;;;;;2011;9040;NADIR FIGUEI
valores;4.852.263;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.772.162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.080.101;-447.023;-247.673;;;;;;;;;;;;;;;;;;;;-383.172;;;;;;;;;;;;;;;;;;;;;;;;;;;;252.562;;;;;;;;;;;;;;;;-68.740;;;;;;;;;;;;;;;;;;;;;;;;;;;633.078;;;;;;;-730.854;549.383;;;;;;;;;;-1.280.237;;;;;;;;;;;;-97.776;135.807;-8.312;;144.119;38.031;;;;;;;;;;;;;;38.031;17.189;20.842;;;;;;;;;0,12817;0,14099;0,14099;;;0,12817;0,14099;0,14099;;2011;9067;SUZANO HOLD
valores;82.124.304;82.367.272;;;-608.270;;;365.302;;;;;;;;;;;;;;;;;;;;;-44.130.173;;;;;2.625.813;;;;-46.755.986;;;;;;;;;;;;;;;;;;;;;37.994.131;-23.310.662;10.834.333;;;;;;;;;;;;;;;;;;;;-11.150.970;;;;;;;;;;;;;;;;;;;;;-11.477.134;;;;;;;-3.536.225;-3.536.225;;;;;;;;;;;;;;;3.076.175;3.076.175;;;;;;;;;;;;;;;-11.738.963;-8.296.151;-2.120.335;-1.322.477;;;;;682.122;;;14.683.469;;;;;;;-3.594.027;-5.268.788;;;;;;;;;;1.674.761;;;;;;;;;;;;11.089.442;;;;;11.089.442;10.958.054;131.388;;;;;;;;;;;;;;;;;;;;;;;2,74000;3,01000;;;;;;;;2011;906;BRADESCO
valores;1.345.632;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.055.199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;290.433;-233.188;-242.029;;;;;;;;;;;;;;;;;;;;-29.544;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.245;;;;;;;-5.676;4.802;;;;;;;;;;-10.478;;;;;;;;;;;;51.569;-14.147;-14.722;;575;37.422;;;;;;;;;;;;;;37.422;37.422;;;;;;;;;;8,18059;8,17173;;;;8,18059;8,17173;;;2011;9342;DIMED
valores;4.098.356;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4.005.106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93.250;-139.854;-39.051;;;;;;;;;;;;;;;;;;;;-72.050;-51.268;-9.622;-11.160;;;;;;;;;;;;;;;;;;;;;;;;;18.590;;;;;;;;;;;;;;;;-47.343;;;;;;;;;;;;;;;;;;;;;;;;;;;-46.604;;;;;;;-43.778;949.770;;;;;;;;;;-993.548;;;;;;;;;;;;-90.382;42.671;-14.936;;57.607;-47.711;;;;;;;;;;;;;;-47.711;-47.699;-12;;;;;;;;;-0,14946;;;;;-0,14946;;;;2011;9393;PARANAPANEMA
valores;365.581;;;;;;;;;;;;;;;;;;;;;;;;;;;;-332.571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.010;-24.290;-12.949;;;;;;;;;;;;;;;;;;;;-13.044;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.720;;;;;;;8.102;30.577;;;;;;;;;;-22.475;;;;;;;;;;;;16.822;-3.516;-3.527;;11;13.306;;;;;;;;;;;;;;13.306;13.306;;;;;;;;;;1,45660;38,56812;;;;;;;;2011;94;PANATLANTICA
valores;244.176.142;;;;;;;;;;;;;;;;;;;;;;;;;;;;-166.939.260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77.236.882;-33.008.162;-8.950.043;;;;;;;;;;;;;;;;;;;;-8.646.758;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;-15.797.229;-777.345;-2.444.023;-4.427.992;-1.560.139;-6.587.730;;;;;;;;;;;385.868;;;;;;;;;;;44.228.720;;;;;;;122.220;6.542.637;6.542.637;0;;;;;;;;-6.420.417;-2.421.570;-3.998.847;;;;;;;;;;44.350.940;-11.241.328;-5.084.456;;-6.156.872;33.109.612;;;;;;;;;;;;;;33.109.612;33.313.097;-203.485;;;;;;;;;2,55000;2,55000;;;;;;;;2011;9512;PETROBRAS
valores;11.190;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7.544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.646;-48.875;-16.456;-16.456;0;;;;;;;;;;;;;;;;;;-75.935;-41.218;-24.385;-10.332;;;;;;;;;;;;;;;;;;;;;;;;;26.095;10.712;14.045;1.338;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;17.421;;;;;;;;;;;-45.229;;;;;;;109.118;372.007;;;;;;;;;;-262.889;;;;;;;;;;;;63.889;-16.054;;;;47.835;;;;;;;;;;;;;;47.835;47.835;;;;;;;;;;0,54021;0,59423;;;;;;;;2011;9954;ALFA HOLDING
valores;2.355.539;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.437.755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-82.216;96.302;-66.723;;;;;;;;;;;;;;;;;;;;-198.236;;;;;;;;;;;;;;;;;;;;;;;;;;;;361.947;;;;;;;;;;;;;;;;-686;;;;;;;;;;;;;;;;;;;;;;;;;;;14.086;;;;;;;-35.837;8.540;;;;;;;;;;-44.377;;;;;;;;;;;;-21.751;-470;0;;;-22.221;;;86;86;86;;;;;;;;;-22.135;-22.221;86;;;;;;;;;-0,02834;-0,14699;;;;;;;;2011;9989;PET MANGUINH
valores;107.931.378;107.931.378;;;;;;;;;;;;;;;;;;;;;;;;;;;-72.210.784;-59.355.538;;;;-12.846.077;;;;-9.169;;;;;;;;;;;;;;;;;;;;;35.720.594;-20.450.702;;;;;;;;;;;;;;;;;;;;;-17.782.767;;;;;;;;;;;;;;;;;;;;;-10.613.275;;;;;;;;;;;;;;;;;;;;;;;30.642.304;18.106.867;-733.911;449.355;45.925;2.525.518;10.248.550;;;;;;;;;;-22.696.964;-3.261.251;-1.092.367;-18.343.346;;;;;;;;15.269.892;;;;;;;-3.831.692;-6.859.826;;;;;;;;;;3.028.134;;;;;;;;;;;;11.438.200;;;;;11.438.200;11.245.922;192.278;;;;;;;;;;;;;;;;;;;;;;;3,93000;;;;;3,93000;;;;2012;1023;BRASIL
valores;3.006.982;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.734.176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.272.806;-981.047;-745.952;;;;;;;;;;;;;;;;;;;;-151.738;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.349;;;;;;;;;;;;;;;;-75.842;-23.944;-51.898;;;;;;;;;;;;;;-42.864;;;;;;;;;;;291.759;;;;;;;8.094;80.957;19.189;61.768;;;;;;;;-72.863;-17.796;-55.067;;;;;;;;;;299.853;-19.317;-26.821;;7.504;280.536;;;0;0;;;;;;;;;;280.536;279.983;553;;;;;;;;;;;;;;;;;;2012;10456;ALPARGATAS
valores;1.923.585;2.017.034;;;-93.449;;;;;;;;;;;;;;;;;;;;;;;;-1.083.686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;839.899;-696.000;-504.287;;;;;;;;;;;;;;;;;;;;-159.292;-12.263;-429;-6.062;-140.538;;;;;;;;;;;;;;;;;;;;;;;;8.932;;;;;;;;;;;;;;;;-41.353;-38.647;;-2.706;;;;;;;;;;;;;;;;;;;;;;;;143.899;;;;;;;-38.138;6.211;;;;;;;;;;-44.349;;;;;;;;;;;;105.761;-28.746;-14.100;;-14.646;77.015;;;;;;;;;;;;;;77.015;77.010;5;;;;;;;;;2,72286;2,72286;;;;2,72286;2,71958;;;2012;10472;SARAIVA LIVR
valores;117.293;134.533;;;-1.304;;;-15.936;;;;;;;;;;;;;;;;;;;;;-89.563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.730;72.179;;;;;;;;;;;;;;;;;;;;;-19.827;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.161;;;;;;;;;;;;;;;;90.845;-49;90.894;;;;;;;;;;;;;;;;;;;;;;;;;99.909;;;;;;;1.984;5.872;;;;;;;;;;-3.888;;;;;;;;;;;;101.893;1.497;-2.541;;4.038;103.390;;;;;;;;;;;;;;103.390;103.390;;;;;;;;;;36.007,00000;33.004,00000;34.379,00000;;;0,00000;0,00000;0,00000;;2012;10880;SONDOTECNICA
valores;87.991;;;;;;;;;;;;;;;;;;;;;;;;;;;;-81.409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.582;-12.128;-5.525;;;;;;;;;;;;;;;;;;;;-16.792;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.772;;;;;;;;;;;;;;;;-1.935;;;;;;;;;;;;;;;;1.352;;;;;;;;;;;-5.546;;;;;;;5.037;9.057;;;;;;;;;;-4.020;;;;;;;;;;;;-509;-3.801;-3.801;;;-4.310;;;;;;;;;;;;;;-4.310;-1.651;-2.659;;;;;;;;;0,00000;0,00000;0,00000;;;;;;;2012;10960;SPRINGER
valores;812.481;;;;;;;;;;;;;;;;;;;;;;;;;;;;-685.131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;127.350;-68.246;;;;;;;;;;;;;;;;;;;;;-115.131;-4.735;-443;-4.737;-67.417;-9.029;-2.507;-3.866;-1.807;-1.593;-647;-2.829;-1.216;-293;-472;-566;-2.146;-3.220;-7.608;;;;;;;;;;51.211;121;1;3.806;45.243;2.040;;;;;;;;;;;-5.162;-898;-159;-4.010;-95;;;;;;;;;;;;836;836;;;;;;;;;;59.104;;;;;;;9.204;15.651;15.651;;;;;;;;;-6.447;-6.447;;;;;;;;;;;68.308;-28.453;-13.071;;-15.382;39.855;;;-5.273;-5.273;;;;;;;;;;34.582;34.612;-30;;;;;;;;;4,75244;4,75244;;;;4,75244;4,75244;;;2012;11070;WLM IND COM
valores;186.239;;;;;;;;;;;;;;;;;;;;;;;;;;;;-140.543;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.696;242.378;-38.749;;;;;;;;;;;;;;;;;;;;-15.544;;;;;;;;;;;;;;;;;;;;;;;;;;;;429.448;;;;;;;;;;;;;;;;-132.777;;;;;;;;;;;;;;;;;;;;;;;;;;;288.074;;;;;;;-170.699;10.236;;;;;;;;;;-180.935;;;;;;;;;;;;117.375;-15.717;-11.872;;-3.845;101.658;;;;;;;;;;;;;;101.658;101.661;-3;;;;;;;;;2,02043;2,02043;;;;2,02043;2,02043;;;2012;11223;TEKA
valores;147.409;;;;;;;;;;;;;;;;;;;;;;;;;;;;-107.345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.064;-23.173;-7.697;-3.619;-329;-875;-105;-447;280;-19;-1.840;;;;;;;;;;;-743;-16.114;-1.895;-6.421;-769;-584;-486;-1.560;-2.165;-553;;;;;;;;;;;;-1.681;;;;;;;;713;99;;;;;;;;;;;;;;614;-75;;;;;;;;;;;;;;;;;;;;;;;;;;;16.891;;;;;;;9.906;11.058;;;;;;;;;;-1.152;;;;;;;;;;;;26.797;-5.412;-7.350;;1.938;21.385;;;;;;;;;;;;;;21.385;21.385;;;;;;;;;;7,79053;7,79053;;;;7,79053;7,79053;;;2012;11231;TEKNO
valores;25.169.230;;;;;;;;;;;;;;;;;;;;;;;;;;;;-12.673.253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.495.977;-7.735.838;-4.847.297;;;;;;;;;;;;;;;;;;;;-2.998.437;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.996.122;;;;;;;;;;;;;;;;-1.886.226;;;;;;;;;;;;;;;;;;;;;;;;;;;4.760.139;;;;;;;-2.215.527;2.275.372;;;;;;;;;;-4.490.899;;;;;;;;;;;;2.544.612;-759.685;-934.079;;174.394;1.784.927;;;;;;;;;;;;;;1.784.927;1.784.890;37;;;;;;;;;1,09000;1,09000;;;;1,09000;1,09000;;;2012;11312;OI
valores;455.774;;;;;;;;;;;;;;;;;;;;;;;;;;;;-349.037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106.737;-38.285;-16.167;;;;;;;;;;;;;;;;;;;;-17.884;-1.311;-9.222;-1.898;-5.453;;;;;;;;;;;;;;;;;;;;;;;;2.789;2.789;;;;;;;;;;;;;;;-7.023;-7.023;;;;;;;;;;;;;;;;;;;;;;;;;;68.452;;;;;;;-4.113;5.550;4.214;1.336;;;;;;;;-9.663;-4.443;-5.220;;;;;;;;;;64.339;-14.221;-13.802;;-419;50.118;;;;;;;;;;;;;;50.118;50.118;;;;;;;;;;0,02000;0,02400;0,02000;;;16.092,76000;23.699,36000;10.325,88000;;2012;11398;CRISTAL
valores;1.214.090;1.208.857;;;4.519;;;700;;;;14;;;;;;;;;;;;;;;;;-643.806;-643.806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;570.284;-467.936;196.318;;;;;;;;;;;;;;;;;;;;-253.993;;;;;;;;;;;;;;;;;;;;;-150.336;;;;;;;-53.012;;;;;;;;;;;;;;;;78.122;37.311;19.278;4.493;;17.040;;;;;;;;;;;-285.042;-143.747;-19.663;-43.995;-60.792;-16.845;;;7;;;102.348;;;;;;;-20.644;-39.369;;;;;;;;;;18.725;;;;;;;;;;;;81.704;;;;;81.704;81.704;0;;;;;;;;;;;;;;;;;;;;;;;0,05000;0,05000;;;;0,05000;0,05000;;;2012;1155;BANESTES
valores;355.386;;;;;;;;;;;;;;;;;;;;;;;;;;;;-208.736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;146.650;-87.477;-37.994;;;;;;;;;;;;;;;;;;;;-51.068;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.441;;;;;;;;;;;;;;;;-16.734;;;;;;;;;;;;;;;;16.878;;;;;;;;;;;59.173;;;;;;;-1.773;35.938;35.938;0;;;;;;;;-37.711;-36.311;-1.400;;;;;;;;;;57.400;-18.118;-15.456;;-2.662;39.282;;;;;;;;;;;;;;39.282;39.282;;;;;;;;;;0,04410;0,04851;0,04851;;;;;;;2012;11592;UNIPAR
valores;1.483.125;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.144.472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;338.653;-443.118;-306.022;;;;;;;;;;;;;;;;;;;;-113.612;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;-23.463;;;;;;;;;;;;;;;;-21;;;;;;;;;;;-104.465;;;;;;;-141.637;20.362;;;;;;;;;;-161.999;;;;;;;;;;;;-246.102;-61.855;-1.773;;-60.082;-307.957;;;;;;;;;;;;;;-307.957;-307.986;29;;;;;;;;;-1,10000;;;;;-1,10000;;;;2012;11762;VULCABRAS
valores;5.698.513;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5.122.210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;576.303;-297.793;-92.699;;;;;;;;;;;;;;;;;;;;-215.010;-208.350;-6.660;;;;;;;;;;;;;;;;;;;;;;;;;;27.224;;;;;;;;;;;;;;;;-17.308;;;;;;;;;;;;;;;;;;;;;;;;;;;278.510;;;;;;;-160.624;47.014;;;;;;;;;;-207.638;-199.755;-7.883;;;;;;;;;;117.886;-12.180;-71.974;;59.794;105.706;;;;;;;;;;;;;;105.706;66.864;38.842;;;;;;;;;0,70697;;;;;0,70402;;;;2012;11932;IOCHP-MAXION
valores;218.242;239.564;;;-21.322;;;;;;;;;;;;;;;;;;;;;;;;-194.175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.067;-12.620;0;;;;;;;;;;;;;;;;;;;;-15.969;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.349;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;11.447;;;;;;;-5.239;911;;;;;;;;;;-6.150;;;;;;;;;;;;6.208;2.588;;;;8.796;;;;;;;;;;;;;;8.796;8.793;3;;;;;;;;;;;;;;;;;;2012;11975;AZEVEDO
valores;190.591;;;;;;;;;;;;;;;;;;;;;;;;;;;;-160.430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.161;-22.632;-14.961;;;;;;;;;;;;;;;;;;;;-25.303;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.632;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;7.529;;;;;;;-10.316;1.846;;;;;;;;;;-12.162;;;;;;;;;;;;-2.787;-12.594;;;-12.594;-15.381;;;;;;;;;;;;;;-15.381;-14.919;-462;;;;;;;;;-0,75000;-0,75000;;;;;;;;2012;11991;WETZEL SA
valores;5.973.979;5.973.979;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.507.586;-2.507.586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.466.393;-2.308.289;828.116;;;;;;;;;;;;;;;;;;;;-1.309.300;;;;;;;;;;;;;;;;;;;;;-832.027;;;;;;;-258.189;;;;;;;;;;;;;;;;306.579;2.552;98.573;-29.902;235.356;;;;;;;;;;;;-1.044.675;-676.285;-368.390;;;;;;1.207;;;1.158.104;;;;;;;-324.395;-475.716;;;;;;;;;;151.321;;;;;;;;;;;;833.709;;;;;833.709;833.587;122;;;;;;;;;;;;;;;;;;;;;;;0,00204;0,00219;0,00204;;;;;;;2012;1210;BANRISUL
valores;984.038;;;;;;;;;;;;;;;;;;;;;;;;;;;;-551.353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;432.685;-390.721;-313.909;-52.556;-22.602;-119.551;-91.311;-2.074;-6.419;-2.440;-8.091;-8.865;;;;;;;;;;;-52.140;-23.602;-13.882;-4.053;-2.132;-1.509;-100;-567;-6.295;;;;;;;;;;;;;;;;;;;;14.945;14.945;;;;;;;;;;;;;;;-39.617;-36.260;-3.357;;;;;;;;;;;;;;;;;;;;;;;;;41.964;;;;;;;-72.619;75.865;4.477;71.388;;;;;;;;-148.484;-42.660;-105.824;;;;;;;;;;-30.655;6.066;-9.115;;15.181;-24.589;;;;;;;;;;;;;;-24.589;-23.708;-881;;;;;;;;;-0,44000;-0,44000;;;;-14.938,00000;-8.770,00000;;;2012;12190;BOMBRIL
valores;1.545.338;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.353.177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;192.161;-198.667;-124.390;;;;;;;;;;;;;;;;;;;;-132.820;-69.107;-63.713;;;;;;;;;;;;;;;;;;;;;;;;;;58.389;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;154;;;;;;;;;;;-6.506;;;;;;;3.769;40.550;;;;;;;;;;-36.781;;;;;;;;;;;;-2.737;4.237;;;;1.500;;;0;0;;;;;;0;;;;1.500;662;838;;;;;;;;;0,06000;;;;;0,05000;;;;2012;12530;ITAUTEC
valores;12.951;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9.674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.277;-9.935;-470;;;;;;;;;;;;;;;;;;;;-2.915;;;;;;;;;;;;;;;;;;;;;;;;;;;;185;;;;;;;;;;;;;;;;-6.735;;;;;;;;;;;;;;;;;;;;;;;;;;;-6.658;;;;;;;-7.989;309;;;;;;;;;;-8.298;;;;;;;;;;;;-14.647;-99;;;-99;-14.746;;;;;;;;;;;;;;-14.746;-14.738;-8;;;;;;;;;-0,18862;-0,95060;;;;;;;;2012;12572;RECRUSUL
valores;4.163.670;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.937.160;885.988;;;;-2.823.148;;;;;;;;;;;;;;;;;;;;;;;;;2.226.510;-582.292;-344.574;;;;;;;;;;;;;;;;;;;;-273.918;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.373;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;25.827;;;;;;;;;;;1.644.218;;;;;;;-547.762;310.523;;;;;;;;;;-858.285;;;;;;;;;;;;1.096.456;-344.491;-133.945;;-210.546;751.965;;;;;;;;;;;;;;751.965;751.965;;;;;;;;;;0,79640;0,87600;;;;0,79640;0,87600;;;2012;12653;KLABIN SA
valores;433.515;;;;;;;;;;;;;;;;;;;;;;;;;;;;-321.506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112.009;-113.357;-66.695;;;;;;;;;;;;;;;;;;;;-46.699;-5.337;-41.362;;;;;;;;;;;;;;;;;;;;;;;;;;37;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.348;;;;;;;-46.790;2.688;;;;;;;;;;-49.478;;;;;;;;;;;;-48.138;-1.702;-3.459;;1.757;-49.840;;;;;;;;;;;;;;-49.840;-54.602;4.762;;;;;;;;;-2,83000;-2,83000;-2,83000;;;;;;;2012;12696;SANSUY
valores;79.768;;;;;;;;;;;;;;;;;;;;;;;;;;;;-46.119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.649;-17.661;-2.416;;;;;;;;;;;;;;;;;;;;-30.913;-29.418;-1.495;;;;;;;;;;;;;;;;;;;;;;;;;;15.668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.988;;;;;;;1.974;3.888;;;;;;;;;;-1.914;;;;;;;;;;;;17.962;-4.738;;;;13.224;;;;;;;;;;;;;;13.224;13.225;-1;;;;;;;;;211,59000;107,12000;;;;;;;;2012;12823;ALIPERTI
valores;2.648.174;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.347.464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.300.710;-1.097.536;129.956;;;;;;;;;;;;;;;;;;;;-373.884;;;;;;;;;;;;;;;;;;;;;-311.751;;;;;;;-16.893;;;;;;;;;;;;;;;;59.228;0;907;58.321;;;;;;;;;;;;;-584.192;-36.316;-452.027;-27.048;-800;-68.001;;;;;;203.174;;;;;;;-67.047;-67.461;;;;;;;;;;414;;;;;;;;;;;;136.127;;;;;136.127;130.800;5.327;;;;;;;;;;;;;;;;;;;;;;;3,07760;3,07760;;;;;;;;2012;1325;MERC BRASIL
valores;930.344;;;;;;;;;;;;;;;;;;;;;;;;;;;;-645.419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;284.925;-204.689;-136.668;;;;;;;;;;;;;;;;;;;;-77.757;-3.120;-70.542;-4.095;;;;;;;;;;;;;;;;;;;;;;;;;9.736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80.236;;;;;;;-11.125;36.010;;;;;;;;;;-47.135;;;;;;;;;;;;69.111;-30.554;-29.918;;-636;38.557;;;;;;;;;;;;;;38.557;33.588;4.969;;;;;;;;;3,17005;3,48706;;;;3,17005;3,48706;;;2012;13285;JOSAPAR
valores;29.752.636;;;;;;;;;;;;;;;;;;;;;;;;;;;;-19.199.871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.552.765;4.078.917;-4.258.004;;;;;;;;;;;;;;;;;;;;-3.764.743;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.101.664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.631.682;;;;;;;-2.513.193;1.671.307;;;;;;;;;;-4.184.500;;;;;;;;;;;;12.118.489;-2.849.214;-147.984;;-2.701.230;9.269.275;;;;;;;;;;;;;;9.269.275;9.269.275;;;;;;;;;;;;;;;;;;;2012;13366;HAGA SA
valores;910.815;;;;;;;;;;;;;;;;;;;;;;;;;;;;-788.194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;122.621;-129.913;-43.861;;;;;;;;;;;;;;;;;;;;-86.447;;;;;;;;;;;;;;;;;;;;;;;;;;;;395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7.292;;;;;;;-66.415;5.242;;;;;;;;;;-71.657;;;;;;;;;;;;-73.707;16.039;-214;;16.253;-57.668;;;;;;;;;;;;;;-57.668;-57.614;-54;;;;;;;;;;;;;;;;;;2012;13471;PLASCAR PART
