Razão Social                                      	Nome de Pregão	Segmento	Código CVM
RUMO MALHA PAULISTA S.A.                          	ALL PAULISTA  	MB      	17930     
RUMO S.A.                                         	RUMO S.A.     	NM      	17450     
SALUS INFRAESTRUTURA PORTUARIA SA                 	SALUS INFRA   	        	23540     
SANESALTO SANEAMENTO S.A.                         	SANESALTO     	        	19593     
SANSUY S.A. INDUSTRIA DE PLASTICOS                	SANSUY        	        	12696     
SANTHER FAB DE PAPEL STA THEREZINHA S.A.          	SANTHER       	        	14923     
SANTO ANTONIO ENERGIA S.A.                        	STO ANTONIO   	        	23388     
SANTOS BRASIL PARTICIPACOES S.A.                  	SANTOS BRP    	NM      	17892     
SAO CARLOS EMPREEND E PARTICIPACOES S.A.          	SAO CARLOS    	NM      	13781     
SAO MARTINHO S.A.                                 	SAO MARTINHO  	NM      	20516     
SAO PAULO TURISMO S.A.                            	SPTURIS       	        	9415      
SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL  	SARAIVA LIVR  	N2      	10472     
SCHULZ S.A.                                       	SCHULZ        	        	14664     
SER EDUCACIONAL S.A.                              	SER EDUCA     	NM      	23221     
SIDERURGICA J. L. ALIPERTI S.A.                   	ALIPERTI      	        	12823     
SINQIA S.A.                                       	SINQIA        	NM      	22799     
SLC AGRICOLA S.A.                                 	SLC AGRICOLA  	NM      	20745     
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.         	SMART FIT     	M2      	24260     
SMILES FIDELIDADE S.A.                            	SMILES        	NM      	24252     
SOMOS EDUCAÇÃO S.A.                               	SOMOS EDUCA   	NM      	22551     
SONAE SIERRA BRASIL S.A.                          	SIERRABRASIL  	NM      	22357     
SONDOTECNICA ENGENHARIA SOLOS S.A.                	SONDOTECNICA  	        	10880     
SPRINGER S.A.                                     	SPRINGER      	        	10960     
SPRINGS GLOBAL PARTICIPACOES S.A.                 	SPRINGS       	NM      	20966     
STARA S.A. - INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS   	STARA         	MA      	24201     
STATKRAFT ENERGIAS RENOVAVEIS S.A.                	STATKRAFT     	        	22594     
SUDESTE S.A.                                      	SUDESTE S/A   	MB      	16586     
SUL 116 PARTICIPACOES S.A.                        	SUL 116 PART  	MB      	16438     
SUL AMERICA S.A.                                  	SUL AMERICA   	N2      	21121     
SUZANO HOLDING S.A.                               	SUZANO HOLD   	        	9067      
SUZANO S.A.                                       	SUZANO S.A.   	NM      	13986     
T4F ENTRETENIMENTO S.A.                           	TIME FOR FUN  	NM      	22454     
TARPON INVESTIMENTOS S.A.                         	TARPON INV    	NM      	21717     
TAURUS ARMAS S.A.                                 	FORJA TAURUS  	N2      	6173      
TCP TERMINAL DE CONTEINERES DE PARANAGUA SA       	TCP TERMINAL  	        	24066     
TEC TOY S.A.                                      	TECTOY        	        	14133     
TECHNOS S.A.                                      	TECHNOS       	NM      	22519     
TECNISA S.A.                                      	TECNISA       	NM      	20435     
TECNOSOLO ENGENHARIA S.A.                         	TECNOSOLO     	        	11207     
TEGMA GESTAO LOGISTICA S.A.                       	TEGMA         	NM      	20800     
TEKA-TECELAGEM KUEHNRICH S.A.                     	TEKA          	        	11223     
TEKNO S.A. - INDUSTRIA E COMERCIO                 	TEKNO         	        	11231     
TELEC BRASILEIRAS S.A. TELEBRAS                   	TELEBRAS      	        	11258     
TELEFÔNICA BRASIL S.A                             	TELEF BRASIL  	        	17671     
TERMELÉTRICA PERNAMBUCO III S.A.                  	TERM. PE III  	        	23329     
TERMINAL GARAGEM MENEZES CORTES S.A.              	MENEZES CORT  	MB      	18538     
TERMOPERNAMBUCO S.A.                              	TERMOPE       	        	19852     
TERRA SANTA AGRO S.A.                             	TERRA SANTA   	NM      	20354     
TEXTIL RENAUXVIEW S.A.                            	TEX RENAUX    	        	7544      
TIM PARTICIPACOES S.A.                            	TIM PART S/A  	NM      	17639     
TOTVS S.A.                                        	TOTVS         	NM      	19992     
TPI - TRIUNFO PARTICIP. E INVEST. S.A.            	TRIUNFO PART  	NM      	19330     
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.     	TAESA         	N2      	20257     
TREVISA INVESTIMENTOS S.A.                        	TREVISA       	        	8192      
TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.               	TRIANGULOSOL  	        	23060     
TRISUL S.A.                                       	TRISUL        	NM      	21130     
TRUE SECURITIZADORA S.A.                          	APICESECURIT  	        	22276     
TUPY S.A.                                         	TUPY          	NM      	6343      
ULTRAPAR PARTICIPACOES S.A.                       	ULTRAPAR      	NM      	18465     
UNICASA INDÚSTRIA DE MÓVEIS S.A.                  	UNICASA       	NM      	22780     
UNIDAS S.A.                                       	UNIDAS        	        	21555     
UNIPAR CARBOCLORO S.A.                            	UNIPAR        	        	11592     
UPTICK PARTICIPACOES S.A.                         	UPTICK        	MB      	16624     
USINAS SID DE MINAS GERAIS S.A.-USIMINAS          	USIMINAS      	N1      	14320     
VALE S.A.                                         	VALE          	NM      	4170      
VALID SOLUÇÕES S.A.                               	VALID         	NM      	20028     
VERT COMPANHIA SECURITIZADORA                     	VERTCIASEC    	        	23990     
VIA VAREJO S.A.                                   	VIAVAREJO     	NM      	6505      
VIVER INCORPORADORA E CONSTRUTORA S.A.            	VIVER         	NM      	20702     
VULCABRAS/AZALEIA S.A.                            	VULCABRAS     	NM      	11762     
WEG S.A.                                          	WEG           	NM      	5410      
WETZEL S.A.                                       	WETZEL S/A    	        	11991     
WHIRLPOOL S.A.                                    	WHIRLPOOL     	        	14346     
WILSON SONS LTD.                                  	WILSON SONS   	DR3     	80047     
WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.         	WIZ S.A.      	NM      	23590     
WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.  	WLM IND COM   	        	11070     
